@RELATION CharacterFilter

@ATTRIBUTE init         string
@ATTRIBUTE alternate    string
@ATTRIBUTE result 	{0, 1}

@DATA
'Folks, we just survived something reamly crazy awful.','l',1
'Folks, we just survived something really crazy awful.','t',0
'Folks, we just survived something realty crazy awful.','l',1
'Folks, we just survived something really crazy awful.','m',0
'Folks, we just survived something realmy crazy awful.','l',1
'Folks, we just survived something really crazy awful.','z',0
'Folks, we just survived something reallz crazy awful.','y',1
'Folks, we just survived something really crazy awful.','0',0
'Folks, we just survived something really0crazy awful.',' ',1
'Folks, we just survived something really crazy awful.','"',0
'Folks, we just survived something really"crazy awful.',' ',1
'Folks, we just survived something really crazy awful.','!',0
'Folks, we just survived something really!crazy awful.',' ',1
'Folks, we just survived something really crazy awful.','s',0
'Folks, we just survived something really srazy awful.','c',1
'Folks, we just survived something really crazy awful.','k',0
'Folks, we just survived something really krazy awful.','c',1
'Folks, we just survived something really crazy awful.','d',0
'Folks, we just survived something really drazy awful.','c',1
'Folks, we just survived something really crazy awful.','s',0
'Folks, we just survived something really csazy awful.','r',1
'Folks, we just survived something really crazy awful.','q',0
'Folks, we just survived something really crqzy awful.','a',1
'Folks, we just survived something really crazy awful.','i',0
'Folks, we just survived something really crizy awful.','a',1
'Folks, we just survived something really crazy awful.','b',0
'Folks, we just survived something really crbzy awful.','a',1
'Folks, we just survived something really crazy awful.','z',0
'Folks, we just survived something really crazz awful.','y',1
'Folks, we just survived something really crazy awful.','0',0
'Folks, we just survived something really crazy0awful.',' ',1
'Folks, we just survived something really crazy awful.','"',0
'Folks, we just survived something really crazy"awful.',' ',1
'Folks, we just survived something really crazy awful.','!',0
'Folks, we just survived something really crazy!awful.',' ',1
'Folks, we just survived something really crazy awful.','q',0
'Folks, we just survived something really crazy qwful.','a',1
'Folks, we just survived something really crazy awful.','i',0
'Folks, we just survived something really crazy iwful.','a',1
'Folks, we just survived something really crazy awful.','b',0
'Folks, we just survived something really crazy bwful.','a',1
'Folks, we just survived something really crazy awful.','x',0
'Folks, we just survived something really crazy axful.','w',1
'Folks, we just survived something really crazy awful.','v',0
'Folks, we just survived something really crazy awvul.','f',1
'Folks, we just survived something really crazy awful.','n',0
'Folks, we just survived something really crazy awnul.','f',1
'Folks, we just survived something really crazy awful.','g',0
'Folks, we just survived something really crazy awgul.','f',1
'Folks, we just survived something really crazy awful.','v',0
'Folks, we just survived something really crazy awfvl.','u',1
'Folks, we just survived something really crazy awful.','t',0
'Folks, we just survived something really crazy awfut.','l',1
'Folks, we just survived something really crazy awful.','m',0
'Folks, we just survived something really crazy awfum.','l',1
'Folks, we just survived something really crazy awful.','6',0
'Folks, we just survived something really crazy awful6','.',1
'Folks, we just survived something really crazy awful.','0',0
'Folks, we just survived something really crazy awful0','.',1
'Folks, we just survived something really crazy awful.','/',0
'Folks, we just survived something really crazy awful/','.',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'it’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','I',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','Q',0
'Qt’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','I',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','M',0
'Mt’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','I',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','J',0
'Jt’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','I',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'Iu’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'Itb⸮⸮s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','⸮',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’t amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s0amazing that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s"amazing that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s!amazing that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s qmazing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s imazing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s bmazing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s auazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','n',0
'It’s anazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amqzing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amizing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s ambzing that our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazqng that our whole system didn’t blow, because the country really had become like an overheated engine.','i',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','j',0
'It’s amazjng that our whole system didn’t blow, because the country really had become like an overheated engine.','i',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazivg that our whole system didn’t blow, because the country really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','o',0
'It’s amaziog that our whole system didn’t blow, because the country really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','w',0
'It’s amazinw that our whole system didn’t blow, because the country really had become like an overheated engine.','g',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','o',0
'It’s amazino that our whole system didn’t blow, because the country really had become like an overheated engine.','g',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','h',0
'It’s amazinh that our whole system didn’t blow, because the country really had become like an overheated engine.','g',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing0that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing"that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing!that our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing uhat our whole system didn’t blow, because the country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing tpat our whole system didn’t blow, because the country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing tiat our whole system didn’t blow, because the country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazing thqt our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing thit our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s amazing thbt our whole system didn’t blow, because the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing thau our whole system didn’t blow, because the country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that0our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that"our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that!our whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','w',0
'It’s amazing that wur whole system didn’t blow, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that pur whole system didn’t blow, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazing that ovr whole system didn’t blow, because the country really had become like an overheated engine.','u',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',0
'It’s amazing that ous whole system didn’t blow, because the country really had become like an overheated engine.','r',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our0whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our"whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our!whole system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','x',0
'It’s amazing that our xhole system didn’t blow, because the country really had become like an overheated engine.','w',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our wpole system didn’t blow, because the country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing that our wiole system didn’t blow, because the country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','w',0
'It’s amazing that our whwle system didn’t blow, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our whple system didn’t blow, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whote system didn’t blow, because the country really had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whome system didn’t blow, because the country really had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our wholu system didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our wholm system didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our wholf system didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole0system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole"system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole!system didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole tystem didn’t blow, because the country really had become like an overheated engine.','s',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','z',0
'It’s amazing that our whole szstem didn’t blow, because the country really had become like an overheated engine.','y',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole syttem didn’t blow, because the country really had become like an overheated engine.','s',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole sysuem didn’t blow, because the country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole systum didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole systmm didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our whole systfm didn’t blow, because the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole systeu didn’t blow, because the country really had become like an overheated engine.','m',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','n',0
'It’s amazing that our whole systen didn’t blow, because the country really had become like an overheated engine.','m',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system0didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system"didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system!didn’t blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system tidn’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','l',0
'It’s amazing that our whole system lidn’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','e',0
'It’s amazing that our whole system eidn’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazing that our whole system dqdn’t blow, because the country really had become like an overheated engine.','i',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','j',0
'It’s amazing that our whole system djdn’t blow, because the country really had become like an overheated engine.','i',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system ditn’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','l',0
'It’s amazing that our whole system diln’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','e',0
'It’s amazing that our whole system dien’t blow, because the country really had become like an overheated engine.','d',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazing that our whole system didv’t blow, because the country really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','o',0
'It’s amazing that our whole system dido’t blow, because the country really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s amazing that our whole system didnb⸮⸮t blow, because the country really had become like an overheated engine.','⸮',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’u blow, because the country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t0blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t"blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t!blow, because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','r',0
'It’s amazing that our whole system didn’t rlow, because the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','j',0
'It’s amazing that our whole system didn’t jlow, because the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','c',0
'It’s amazing that our whole system didn’t clow, because the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system didn’t btow, because the country really had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t bmow, because the country really had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','w',0
'It’s amazing that our whole system didn’t blww, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our whole system didn’t blpw, because the country really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','x',0
'It’s amazing that our whole system didn’t blox, because the country really had become like an overheated engine.','w',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','l',0
'It’s amazing that our whole system didn’t blowl because the country really had become like an overheated engine.',',',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','4',0
'It’s amazing that our whole system didn’t blow4 because the country really had become like an overheated engine.',',',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','.',0
'It’s amazing that our whole system didn’t blow. because the country really had become like an overheated engine.',',',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','-',0
'It’s amazing that our whole system didn’t blow- because the country really had become like an overheated engine.',',',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t blow,0because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t blow,"because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t blow,!because the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','r',0
'It’s amazing that our whole system didn’t blow, recause the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','j',0
'It’s amazing that our whole system didn’t blow, jecause the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','c',0
'It’s amazing that our whole system didn’t blow, cecause the country really had become like an overheated engine.','b',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, bucause the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, bmcause the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our whole system didn’t blow, bfcause the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',0
'It’s amazing that our whole system didn’t blow, besause the country really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','k',0
'It’s amazing that our whole system didn’t blow, bekause the country really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','d',0
'It’s amazing that our whole system didn’t blow, bedause the country really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazing that our whole system didn’t blow, becquse the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing that our whole system didn’t blow, beciuse the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s amazing that our whole system didn’t blow, becbuse the country really had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazing that our whole system didn’t blow, becavse the country really had become like an overheated engine.','u',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system didn’t blow, becaute the country really had become like an overheated engine.','s',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, becausu the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, becausm the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our whole system didn’t blow, becausf the country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t blow, because0the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t blow, because"the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t blow, because!the country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, because uhe country really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our whole system didn’t blow, because tpe country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing that our whole system didn’t blow, because tie country really had become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, because thu country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, because thm country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our whole system didn’t blow, because thf country really had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t blow, because the0country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t blow, because the"country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t blow, because the!country really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',0
'It’s amazing that our whole system didn’t blow, because the sountry really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','k',0
'It’s amazing that our whole system didn’t blow, because the kountry really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','d',0
'It’s amazing that our whole system didn’t blow, because the dountry really had become like an overheated engine.','c',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','w',0
'It’s amazing that our whole system didn’t blow, because the cwuntry really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our whole system didn’t blow, because the cpuntry really had become like an overheated engine.','o',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazing that our whole system didn’t blow, because the covntry really had become like an overheated engine.','u',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','v',0
'It’s amazing that our whole system didn’t blow, because the couvtry really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','o',0
'It’s amazing that our whole system didn’t blow, because the couotry really had become like an overheated engine.','n',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, because the counury really had become like an overheated engine.','t',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',0
'It’s amazing that our whole system didn’t blow, because the countsy really had become like an overheated engine.','r',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','z',0
'It’s amazing that our whole system didn’t blow, because the countrz really had become like an overheated engine.','y',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t blow, because the country0really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t blow, because the country"really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t blow, because the country!really had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','s',0
'It’s amazing that our whole system didn’t blow, because the country seally had become like an overheated engine.','r',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','u',0
'It’s amazing that our whole system didn’t blow, because the country rually had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, because the country rmally had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','f',0
'It’s amazing that our whole system didn’t blow, because the country rfally had become like an overheated engine.','e',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazing that our whole system didn’t blow, because the country reqlly had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing that our whole system didn’t blow, because the country reilly had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','b',0
'It’s amazing that our whole system didn’t blow, because the country reblly had become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system didn’t blow, because the country reatly had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, because the country reamly had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','t',0
'It’s amazing that our whole system didn’t blow, because the country realty had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','m',0
'It’s amazing that our whole system didn’t blow, because the country realmy had become like an overheated engine.','l',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','z',0
'It’s amazing that our whole system didn’t blow, because the country reallz had become like an overheated engine.','y',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','0',0
'It’s amazing that our whole system didn’t blow, because the country really0had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','"',0
'It’s amazing that our whole system didn’t blow, because the country really"had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','!',0
'It’s amazing that our whole system didn’t blow, because the country really!had become like an overheated engine.',' ',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','p',0
'It’s amazing that our whole system didn’t blow, because the country really pad become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
'It’s amazing that our whole system didn’t blow, because the country really iad become like an overheated engine.','h',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','q',0
'It’s amazing that our whole system didn’t blow, because the country really hqd become like an overheated engine.','a',1
'It’s amazing that our whole system didn’t blow, because the country really had become like an overheated engine.','i',0
